Name of the neighborhood,Shleter Number,Address,Area,Type,Capacity,Operator,X-axis coordinates,Y axis coordinates,Address for the map,Administration,neighborhood,category
Givat Shaul,Public Shelter No.808,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79070810%2C35.19171290&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79070810%2C35.19171290&amp;navigate=yes&amp;zoom=16"">27 Yisrael Najara St.</a> ",100,,80,Meitarim Community Administration,31.79066778,35.19194561,27 Yisrael Najara St.,,,Givat Shaul
Rehavia,Public Shelter No.809,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77329210%2C35.21079110&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77329210%2C35.21079110&amp;navigate=yes&amp;zoom=16"">9 Rashba St.</a> ",90,,72,"Emergency and Security Division, Jerusalem Municipality",31.77325643710173,35.2107287751096,9 Rashba St.,,,Rehavia
Rehavia,Public Shelter No.810,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77310490%2C35.21664660&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77310490%2C35.21664660&amp;navigate=yes&amp;zoom=16"">9 Ovadia MeBartenora St.</a> ",150,Shelter,120,"Emergency and Security Division, Jerusalem Municipality",31.77326342,35.21668807,9 Ovadia MeBartenora St.,,,Rehavia
Mekor Baruch,Public Shelter No.812,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78771930%2C35.21514760&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78771930%2C35.21514760&amp;navigate=yes&amp;zoom=16"">109 Rashi St.</a> ",110,,88,"Emergency and Security Division, Jerusalem Municipality",31.788901763360464,35.207423347544406,109 Rashi St.,,,Makor Baruch
Malha,Public Shelter No.813,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75539630%2C35.18326690&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75539630%2C35.18326690&amp;navigate=yes&amp;zoom=16"">7 Kdoshei Struma St.</a> ",,,96,"Youth Promotion Department, Jerusalem Municipality",31.7556061,35.1832669,7 Kdoshei Struma St.,,,Malha
Kiryat HaYovel,Public Shelter No.814,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75928850%2C35.17715950&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75928850%2C35.17715950&amp;navigate=yes&amp;zoom=16"">3 Volta Ilit St.</a> ",130,,104,Yuvalim Community Administration,31.759254741248913,35.17712367325539,3 Volta Ilit St.,,,Kiryat Yovel
Kiryat HaYovel,Public Shelter No.814 A,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75928850%2C35.17715950&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75928850%2C35.17715950&amp;navigate=yes&amp;zoom=16"">3 Volta Ilit St.</a> ",130,,104,"""Beit HaKehilot"", Yuvalim Community Administration",31.759254741248913,35.17712367325539,3 Volta Ilit St.,,,Kiryat Yovel
Kiryat HaYovel,Public Shelter No.815,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EilBaGFyb24gUmFiaW5vdmljaCBTdCAyLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCS9L49ae1wIVEdPf6AFdkQ3FEAIqFAoSCSsB47qe1wIVESPv_jfqKhDz&amp;ll=31.76515860%2C35.17575110&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?place=EilBaGFyb24gUmFiaW5vdmljaCBTdCAyLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCS9L49ae1wIVEdPf6AFdkQ3FEAIqFAoSCSsB47qe1wIVESPv_jfqKhDz&amp;ll=31.76515860%2C35.17575110&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.76214270%2C35.17558860&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?place=EilBaGFyb24gUmFiaW5vdmljaCBTdCAyLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCS9L49ae1wIVEdPf6AFdkQ3FEAIqFAoSCSsB47qe1wIVESPv_jfqKhDz&amp;ll=31.76515860%2C35.17575110&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.76214270%2C35.17558860&amp;navigate=yes&amp;zoom=16"">2 Aharon Rabinovich St.</a> ",168,,134,music institute,31.76531568,35.1752983,2 Aharon Rabinovich St.,,,Kiryat Yovel
"Kiryat HaYovel ",Public Shelter No.815 A,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76515860%2C35.17575110&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76515860%2C35.17575110&amp;navigate=yes&amp;zoom=16"">2 Aharon Rabinovich St.</a> ",815 A,,136,"""Yad Avi"" synagogue",31.76531568,35.1752983,2 Aharon Rabinovich St.,,,Kiryat Yovel
Rehavia,Public Shelter No.816,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJM9zN09XXAhURTWSaEw6ial8&amp;ll=31.77159700%2C35.21239370&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJM9zN09XXAhURTWSaEw6ial8&amp;ll=31.77159700%2C35.21239370&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">50 Azza St.</a> ",120,,96,"Holocaust survivors' organization, Jerusalem   ",31.771603263030787,35.212385994916545,50 Azza St.,,,Rehavia
